coverage,accuracy_on_retained,confidence_threshold
0.0238,1.0,1.0
0.0476,1.0,1.0
0.0714,1.0,0.9999
0.0952,1.0,0.9998
0.119,1.0,0.9988
0.1429,1.0,0.9988
0.1667,1.0,0.9975
0.1905,1.0,0.9975
0.2143,1.0,0.9971
0.2381,1.0,0.997
0.2619,1.0,0.9928
0.2857,1.0,0.9925
0.3095,1.0,0.9924
0.3333,1.0,0.9924
0.3571,1.0,0.9914
0.381,1.0,0.9822
0.4048,1.0,0.966
0.4286,1.0,0.9633
0.4524,1.0,0.9559
0.4762,1.0,0.9432
0.5,1.0,0.9412
0.5238,1.0,0.9324
0.5476,1.0,0.9244
0.5714,1.0,0.9123
0.5952,1.0,0.9013
0.619,1.0,0.8732
0.6429,1.0,0.8484
0.6667,0.9643,0.7619
0.6905,0.9655,0.7549
0.7143,0.9667,0.7028
0.7381,0.9355,0.6954
0.7619,0.9062,0.626
0.7857,0.8788,0.6252
0.8095,0.8824,0.5871
0.8333,0.8571,0.5447
0.8571,0.8611,0.5318
0.881,0.8378,0.5265
0.9048,0.8158,0.5165
0.9286,0.7949,0.5047
0.9524,0.8,0.4947
0.9762,0.8049,0.431
1.0,0.8095,0.4309
