method,n,Top-1,Top-3,Top-1_unique_gene_stratum,Top-1_shared_gene_stratum,Top-1_no_gene_stratum,McNemar_p_vs_gene_lookup,in_sample
DISCERN post-correction,42,1.0,1.0,1.0,1.0,1.0,0.25,YES - these cases exposed the correction
DISCERN pre-correction,42,0.81,1.0,0.78,1.0,1.0,,no
gene lookup (phenotype-blind),42,0.9286,1.0,1.0,0.3333,0.6667,,no
prior only (gene-blind),42,0.2143,,0.1667,0.3333,0.6667,,no
uniform random within cluster,42,0.3234,0.8988,,,,,no
"DISCERN phenotype-only (no gene), vs LIRICAL subset",23,0.913,1.0,,,,,no
"DISCERN HPO-representable only (no gene), vs LIRICAL subset",23,0.7391,1.0,,,,,no
LIRICAL restricted to the same cluster,23,0.5652,0.9565,,,,,no

NOTE: Strata partition the benchmark exactly: unique_gene 36 + shared_gene 3 + no_gene 3 = 42. The post-correction row is in-sample and must not be quoted against an external tool.
