cluster_id,cluster_name,disease_id,disease_name,genes,feature,P(feature|disease),sample_size,source_pmid
alpha_granule,Alpha-granule deficiency (gray platelet / GFI1B / ARC / Quebec),gray_platelet,Gray platelet syndrome (NBEAL2),NBEAL2,gray_platelets_smear,0.95,24,27095789
alpha_granule,Alpha-granule deficiency (gray platelet / GFI1B / ARC / Quebec),gray_platelet,Gray platelet syndrome (NBEAL2),NBEAL2,alpha_granule_absent_em,0.98,24,21765412
alpha_granule,Alpha-granule deficiency (gray platelet / GFI1B / ARC / Quebec),gray_platelet,Gray platelet syndrome (NBEAL2),NBEAL2,myelofibrosis,0.5,24,21765412
alpha_granule,Alpha-granule deficiency (gray platelet / GFI1B / ARC / Quebec),gray_platelet,Gray platelet syndrome (NBEAL2),NBEAL2,macrothrombocytopenia,0.7,24,27095789
alpha_granule,Alpha-granule deficiency (gray platelet / GFI1B / ARC / Quebec),gfi1b,GFI1B-related platelet disorder,GFI1B,gray_platelets_smear,0.7,8,24325358
alpha_granule,Alpha-granule deficiency (gray platelet / GFI1B / ARC / Quebec),gfi1b,GFI1B-related platelet disorder,GFI1B,alpha_granule_absent_em,0.85,8,24325358
alpha_granule,Alpha-granule deficiency (gray platelet / GFI1B / ARC / Quebec),gfi1b,GFI1B-related platelet disorder,GFI1B,macrothrombocytopenia,0.9,8,24325358
alpha_granule,Alpha-granule deficiency (gray platelet / GFI1B / ARC / Quebec),quebec,Quebec platelet disorder (PLAU duplication),PLAU,urokinase_overexpression,0.98,38,20007542
alpha_granule,Alpha-granule deficiency (gray platelet / GFI1B / ARC / Quebec),quebec,Quebec platelet disorder (PLAU duplication),PLAU,gray_platelets_smear,0.05,38,21495923
alpha_granule,Alpha-granule deficiency (gray platelet / GFI1B / ARC / Quebec),quebec,Quebec platelet disorder (PLAU duplication),PLAU,alpha_granule_absent_em,0.1,38,21495923
alpha_granule,Alpha-granule deficiency (gray platelet / GFI1B / ARC / Quebec),arc,ARC syndrome (VPS33B / VIPAS39),VPS33B,alpha_granule_absent_em,0.9,12,25947942
alpha_granule,Alpha-granule deficiency (gray platelet / GFI1B / ARC / Quebec),arc,ARC syndrome (VPS33B / VIPAS39),VPS33B,multisystem_arc_features,0.95,12,25947942
coag_factor,Coagulation factor deficiencies,fxiii,Factor XIII deficiency,"F13A1,F13B",delayed_umbilical_separation,0.8,40,24149912
coag_factor,Coagulation factor deficiencies,fxiii,Factor XIII deficiency,"F13A1,F13B",intracranial_hemorrhage,0.3,40,24149912
coag_factor,Coagulation factor deficiencies,fxiii,Factor XIII deficiency,"F13A1,F13B",normal_pt_aptt,0.95,40,24149912
coag_factor,Coagulation factor deficiencies,fxiii,Factor XIII deficiency,"F13A1,F13B",delayed_bleeding,0.85,40,24149912
