arm,n,recall@1,recall@3,recall@5,MRR
LIRICAL_genome_wide,23,0.1304,0.2609,0.3478,0.215
LIRICAL_restricted_to_cluster,23,0.5652,0.9565,0.9565,0.7536
DISCERN_hpo_representable_only,23,0.7391,1.0,1.0,0.8623
DISCERN_phenotype_only_no_gene,23,0.913,1.0,1.0,0.9565
DISCERN_pre_gene_term_fix,23,0.8261,1.0,1.0,0.913
DISCERN_post_fix_IN_SAMPLE,23,1.0,1.0,1.0,1.0

paired test,arm,delta,CI95_low,CI95_high,McNemar_p
vs LIRICAL restricted,phenotype_only,0.3478,0.1304,0.5652,0.021484
vs LIRICAL restricted,hpo_representable_only,0.1739,-0.0446,0.4348,0.289062

phenotype-only arm is invariant to the gene-term fix,True

"NOTE: LIRICAL 2.4.1, phenotype-only mode, observed and negated HPO terms supplied, run in a container. Quote the hpo_representable_only arm for inference claims and the phenotype_only arm for the architectural claim."
